source,customer,suggested
#3 copper,,Sheet Copper
#3 Cu,,Sheet Copper
#3Cu,,Sheet Copper
Bare brite,,No. 1 Copper Wire (Barley)
Bare brite Cu,,No. 1 Copper Wire (Barley)
Bare bright,,No. 1 Copper Wire (Barley)
Bare Bright,,No. 1 Copper Wire (Barley)
Bare Bright copper,,No. 1 Copper Wire (Barley)
Bare bright copper,,No. 1 Copper Wire (Barley)
BB,,No. 1 Copper Wire (Barley)
BB Cu,,No. 1 Copper Wire (Barley)
Bare brite copper,,No. 1 Copper Wire (Barley)
Bare brite Cu,,No. 1 Copper Wire (Barley)
Bare brite copper,,No. 1 Copper Wire (Barley)
Bare brite Cu,,No. 1 Copper Wire (Barley)
Bare brite,,No. 1 Copper Wire (Barley)
Bare Brite,,No. 1 Copper Wire (Barley)
Bare Brite Cu,,No. 1 Copper Wire (Barley)
Bare brite copper,,No. 1 Copper Wire (Barley)
#1 copper,,No. 1 Copper (Berry/Candy)
#1 Cu,,No. 1 Copper (Berry/Candy)
#1 cU,,No. 1 Copper (Berry/Candy)
Bare brite copper,,No. 1 Copper (Berry/Candy)
Berry & Candy,,No. 1 Copper (Berry/Candy)
#2 copper,,No. 2 Copper (Birch/Cliff)
#2 Cu,,No. 2 Copper (Birch/Cliff)
#2 cU,,No. 2 Copper (Birch/Cliff)
Birch & Cliff,,No. 2 Copper (Birch/Cliff)
#2 Cu tips,,No. 2 Copper (Birch/Cliff)
CUBB,,No. 1 Copper Wire (Barley)
CU BB,,No. 1 Copper Wire (Barley)
Copper #1,,No. 1 Copper (Berry/Candy)
Copper #2,,No. 2 Copper (Birch/Cliff)
Copper #3,,Sheet Copper
Copper turnings,,Copper Turnings (Alloy/Shop)
Lead coated sheet copper,,Sheet Copper (Lead-Coated)

A/C rads,,Al/Cu Radiators (Clean)
AC rads,,Al/Cu Radiators (Clean)
AC Rads,,Al/Cu Radiators (Clean)
A/C rads  Dirty,,Al/Cu Radiators (Dirty)
Dirty A/C rads,,Al/Cu Radiators (Dirty)
Clean A/C rads,,Al/Cu Radiators (Clean)
A/C Rad - C,,Al/Cu Radiators (Clean)
A/C Rad - D,,Al/Cu Radiators (Dirty)
A/C Rads - C,,Al/Cu Radiators (Clean)
A/C Rads - D,,Al/Cu Radiators (Dirty)
A/C rad ends,,Radiator Ends (Cu Breakage)
Rad ends,,Radiator Ends (Cu Breakage)

Al car wheels,,Al Car Wheels
Al Car wheels,,Al Car Wheels
Car wheels,,Al Car Wheels
Auto wheels,,Al Car Wheels
Wheels,,Al Car Wheels
Dirty car wheels,,Al Car Wheels (Dirty)
Car wheels - chrome,,Al Car Wheels (Chrome)
Al truck wheels,,Al Truck Wheels
Truck wheels,,Al Truck Wheels
Truck rims,,Al Truck Wheels

bare ext,,Al Extrusion (Bare)
Bare Ext,,Al Extrusion (Bare)
Bare extrusion,,Al Extrusion (Bare)
New Bare Ext,,Al Extrusion (Bare)
Ptd ext,,Painted Aluminum Extrusion
Ptd Ext,,Painted Aluminum Extrusion
Painted Ext.,,Painted Aluminum Extrusion
Painted Ext,,Painted Aluminum Extrusion
Painted extrusion,,Painted Aluminum Extrusion
Ptd ect,,Painted Aluminum Extrusion
Thermo Ex,,Thermal Break Aluminum Extrusion
Thermal Ext,,Thermal Break Aluminum Extrusion
Thermal ext,,Thermal Break Aluminum Extrusion
Thermo brk,,Thermal Break Aluminum Extrusion
Thermo Break,,Thermal Break Aluminum Extrusion
Thermal break,,Thermal Break Aluminum Extrusion
Thermal break ext,,Thermal Break Aluminum Extrusion

AL 6061,,Al 6061 Solids
Al 6061,,Al 6061 Solids
6061 solids,,Al 6061 Solids
6063 Ext,,Al Extrusion 6063 (Old)
NP 6063,,Al Extrusion 6063 (New Production)
NP6063,,Al Extrusion 6063 (New Production)
NP 6061,,Al 6061 Solids
10/10 ext,,Al Extrusion 6063 10/10
10/10 Ext - 2 boxes,,Al Extrusion 6063 10/10
new anodized extrusion,,Al Extrusion (Painted/Anodized)

MLC,,MLC (Mixed Low Copper) Prepared
MLC (pallet),,MLC (Mixed Low Copper) Prepared
Al cast,,Al Cast (Clean)
Al Cast,,Al Cast (Clean)
Old cast alum,,Old Cast Aluminum
Old cast aluminum,,Old Cast Aluminum
Old cast Al,,Old Cast Aluminum
old cast,,Old Cast Aluminum
